sweep,energy_per_spin,abs_magnetization_per_spin
779,-1.7656250000,0.9296875000
780,-1.6718750000,0.9062500000
781,-1.6718750000,0.9140625000
782,-1.6562500000,0.8828125000
783,-1.7656250000,0.9375000000
784,-1.5937500000,0.8750000000
785,-1.7187500000,0.9296875000
786,-1.7500000000,0.9296875000
787,-1.6875000000,0.9140625000
788,-1.6406250000,0.8828125000
789,-1.6718750000,0.8906250000
790,-1.7343750000,0.9062500000
791,-1.8437500000,0.9296875000
792,-1.6406250000,0.8828125000
793,-1.7656250000,0.9296875000
794,-1.8125000000,0.9453125000
795,-1.8750000000,0.9687500000
796,-1.8593750000,0.9609375000
797,-1.9062500000,0.9765625000
798,-1.7031250000,0.9062500000
799,-1.7968750000,0.9296875000
800,-1.6406250000,0.8437500000
801,-1.6406250000,0.8281250000
802,-1.6250000000,0.8437500000
803,-1.6718750000,0.8828125000
804,-1.6093750000,0.8750000000
805,-1.6406250000,0.8984375000
806,-1.6718750000,0.8828125000
807,-1.6718750000,0.8828125000
808,-1.8281250000,0.9531250000
809,-1.8750000000,0.9687500000
810,-1.7500000000,0.9140625000
